,yaw,yaw deg,acc angle dot,gyro angle dot,acc angle cross,gyro angle cross,uva,uva cali,azimuth ,az deg,acc dot deg,acc cross deg,gyro dot deg
2927,-0.756557767,-43.347567,1.477087453,1.95177571,1.477087453,1.189816944,111,0.9398,0.756557767,43.347567,84.63087702,84.63087702,111.8285107
2928,0.303004118,17.36085716,0.99716876,1.714516434,0.99716876,1.42707622,35,0.1494,5.980181189,342.6391428,57.13356139,57.13356139,98.23455556
2929,0.390376798,22.36694297,0.891197389,2.327146678,0.891197389,0.814445976,16,-0.0482,5.892808509,337.633057,51.06184909,51.06184909,133.335683
2930,-1.2894401,-73.87947568,1.705232216,1.563442472,1.436360438,1.563442472,54,0.347,1.2894401,73.87947568,97.70260905,82.29739095,89.57865515
2931,-2.807854063,-160.8781873,1.506466991,1.340754301,1.506466991,1.340754301,86,0.6798,2.807854063,160.8781873,86.31420058,86.31420058,76.81956278
2932,1.593286933,91.28861682,0.588378199,1.916431656,0.588378199,1.225160997,32,0.1182,4.689898374,268.7113832,33.71158758,33.71158758,109.8034456
2933,0.317317189,18.18093568,0.971638257,2.182826544,0.971638257,0.95876611,22,0.0142,5.965868119,341.8190643,55.67077135,55.67077135,125.0667484
2934,-0.586246452,-33.58944743,1.425320748,1.720927489,1.425320748,1.420665164,14,-0.069,0.586246452,33.58944743,81.66486333,81.66486333,98.60188199
2935,-1.317757468,-75.50194131,1.654035498,1.385982962,1.487557156,1.385982962,36,0.1598,1.317757468,75.50194131,94.76925319,85.23074681,79.41097418
2936,-2.062793865,-118.1893825,1.598388994,2.108303028,1.543203659,1.033289626,103,0.8566,2.062793865,118.1893825,91.58094338,88.41905662,120.7968654
2937,2.814568356,161.2628879,1.080916838,2.220571167,1.080916838,0.921021487,110,0.9294,3.468616951,198.7371121,61.93197281,61.93197281,127.229356
2938,1.052097917,60.28077026,0.616397582,2.810548818,0.616397582,0.331043836,44,0.243,5.23108739,299.7192297,35.31697994,35.31697994,161.0325854
2939,0.320105124,18.34067261,0.972291659,1.194621015,0.972291659,1.194621015,29,0.087,5.963080183,341.6593274,55.70820852,55.70820852,68.44674226
2940,0.05208174,2.984063909,1.062053842,0.309892934,1.062053842,0.309892934,12,-0.0898,6.231103567,357.0159361,60.85120276,60.85120276,17.75555722
2941,-0.049494763,-2.835841056,1.180373821,2.282855331,1.180373821,0.858737323,13,-0.0794,0.049494763,2.835841056,67.63043819,67.63043819,130.7979757
2942,-0.094562416,-5.418027345,1.166036079,2.714485884,1.166036079,0.42710677,12,-0.0898,0.094562416,5.418027345,66.80894608,66.80894608,155.5285847
2943,-0.638511098,-36.58399106,1.432050496,2.356289117,1.432050496,0.785303537,18,-0.0274,0.638511098,36.58399106,82.0504495,82.0504495,135.0054217
2944,-1.074068048,-61.53956609,1.578229901,2.877118774,1.563362752,0.264473879,83,0.6486,1.074068048,61.53956609,90.42591245,89.57408755,164.8467629
2945,-1.10289327,-63.19112962,1.623715783,2.99520114,1.51787687,0.146391513,127,1.1062,1.10289327,63.19112962,93.03206151,86.96793849,171.6123841
2946,-0.874052946,-50.07954485,1.516990633,1.728831033,1.516990633,1.412761621,107,0.8982,0.874052946,50.07954485,86.91716081,86.91716081,99.05472166
2947,-0.227070941,-13.01020659,1.20078663,2.293200892,1.20078663,0.848391762,44,0.243,0.227070941,13.01020659,68.80000602,68.80000602,131.3907327
2948,1.127288691,64.58888427,0.589786892,1.738817356,0.589786892,1.402775298,18,-0.0274,5.155896617,295.4111157,33.7922997,33.7922997,99.62689583
2949,-2.609530829,-149.515103,1.492301005,1.846322705,1.492301005,1.295269948,29,0.087,2.609530829,149.515103,85.50254935,85.50254935,105.7864986
2950,-0.883134947,-50.59990518,1.523780192,0.930958052,1.523780192,0.930958052,107,0.8982,0.883134947,50.59990518,87.3061739,87.3061739,53.33996726
2951,0.590181937,33.81493411,0.808954285,0.830328651,0.808954285,0.830328651,36,0.1598,5.693003371,326.1850659,46.34966636,46.34966636,47.57432733
