,yaw,acc angle dot,gyro angle dot,acc angle cross,gyro angle cross,uva,uva cali,accdot deg,azimuth,azi deg
5664,-2.000180204,1.7786284,0.375042671,1.362964254,0.375042671,65,0.4614,101.9079006,2.000180204,114.601884
5665,-0.751095368,0.901240733,0.356209514,0.901240733,0.356209514,68,0.4926,51.63729031,0.751095368,43.03459461
5666,,,1.347598141,,1.347598141,72,0.5342,0,0,0
5667,,,1.401190483,,1.401190483,30,0.0974,0,0,0
5668,,,0.457298973,,0.457298973,25,0.0454,0,0,0
5669,-0.577836924,1.065025592,1.112284864,1.065025592,1.112284864,38,0.1806,61.02147152,0.577836924,33.107617
5670,,,2.53835757,,0.603235083,24,0.035,0,0,0
5671,,,0.224957752,,0.224957752,36,0.1598,0,0,0
5672,-2.763696013,1.515651658,0.767413834,1.515651658,0.767413834,61,0.4198,86.8404432,2.763696013,158.3481174
5673,-0.866191194,1.217150468,2.506106741,1.217150468,0.635485913,50,0.3054,69.73758486,0.866191194,49.62909965
5674,-0.00305253,2.105519428,1.27638725,1.036073226,1.27638725,34,0.139,120.6373769,0.00305253,0.174897106
5675,0.296791593,1.775337872,2.503167698,1.366254781,0.638424955,20,-0.0066,101.7193673,5.986393714,342.9950943
5676,,,1.486109948,,1.486109948,42,0.2222,0,0,0
5677,-0.248417143,0.488457909,3.000358798,0.488457909,0.141233856,20,-0.0066,27.98657668,0.248417143,14.23325387
5678,,,2.720401981,,0.421190673,79,0.607,0,0,0
5679,,,1.024389317,,1.024389317,29,0.087,0,0,0
5680,,,0.995187523,,0.995187523,35,0.1494,0,0,0
5681,-2.180964728,1.937597917,2.902483281,1.203994736,0.239109372,116,0.9918,111.0161831,2.180964728,124.9600742
5682,1.124874778,1.456483593,1.450917522,1.456483593,1.450917522,63,0.4406,83.4503628,5.158310529,295.5494227
5683,-1.623029542,1.928351644,0.355090427,1.213241009,0.355090427,57,0.3782,110.4864106,1.623029542,92.9927428
5684,-0.623366073,2.637801285,2.25494943,0.503791369,0.886643224,49,0.295,151.1348808,0.623366073,35.71624505
5685,0.700194068,1.933259449,1.087460501,1.208333205,1.087460501,28,0.0766,110.7676071,5.582991239,319.8818351
5686,0.734886687,1.813573797,2.200367496,1.328018857,0.941225158,70,0.5134,103.9101244,5.54829862,317.8940944
5687,0.34876481,1.52189211,0.436283038,1.52189211,0.436283038,24,0.035,87.1979948,5.934420497,340.0172483
5688,0.796546256,1.535203255,1.947886458,1.535203255,1.193706195,75,0.5654,87.96066718,5.486639052,314.3612614
5689,,,0.769492866,,0.769492866,69,0.503,0,0,0
5690,-2.162944297,2.019016816,1.36927033,1.122575838,1.36927033,43,0.2326,115.6811423,2.162944297,123.9275795
5691,-1.588815837,1.768194675,0.444099062,1.373397978,0.444099062,46,0.2638,101.3100922,1.588815837,91.03244191
5692,0.326590427,1.295984086,2.309956512,1.295984086,0.831636141,23,0.0246,74.25441846,5.95659488,341.2877469
5693,,,1.854506246,,1.287086407,133,1.1686,0,0,0
5694,,,1.780554815,,1.361037839,95,0.7734,0,0,0
5695,1.516428044,0.728144844,0.568651399,0.728144844,0.568651399,64,0.451,41.71962642,4.766757264,273.1150732
5696,,,2.662432553,,0.479160101,85,0.6694,0,0,0
5697,,,2.840659807,,0.300932846,56,0.3678,0,0,0
5698,-1.47020335,1.705638144,1.894438226,1.43595451,1.247154427,32,0.1182,97.72586703,1.47020335,84.23644698
5699,,,2.236723553,,0.904869101,94,0.763,0,0,0
5700,0.186110732,1.695518759,1.492929857,1.446073894,1.492929857,56,0.3678,97.14606899,6.097074575,349.3366405
5701,,,1.033466175,,1.033466175,94,0.763,0,0,0
5702,,,2.260214745,,0.881377909,37,0.1702,0,0,0
5703,,,2.105061606,,1.036531048,34,0.139,0,0,0
5704,-1.597705272,1.591002836,2.255581258,1.550589817,0.886011395,122,1.0542,91.15774772,1.597705272,91.541769
5705,,,0.487750221,,0.487750221,81,0.6278,0,0,0
5706,,,2.100583545,,1.041009109,107,0.8982,0,0,0
5707,1.492528385,0.539894043,2.436069884,0.539894043,0.70552277,72,0.5342,30.93365006,4.790656923,274.4844228
5708,0.311247525,1.338942227,2.518012515,1.338942227,0.623580138,34,0.139,76.71573863,5.971937782,342.1668304
5709,,,1.68325192,,1.458340734,24,0.035,0,0,0
