givenlat,deg,min,sec,lat,long,deg,min,sec,long,seconds,accel-x,accel-y,accel-z,gyro-x,gyro-y,gyro-z,mag-x,mag-y,mag-z
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,42,-0.03025769,0.061744824,0.951661926,-18.1274544,-28.3966268,-81.9702736,19279.03091,19651.92057,39324.44737
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,43,-0.05369519,-0.085716113,0.915040833,14.7705184,5.1574744,-166.9770484,33784.03552,-3227.107317,38726.30285
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,44,-0.062972534,-0.004661426,0.951173645,28.7933556,7.2937064,-185.0434676,12998.51345,-25208.91843,42165.63384
3028.66,30,28,66,30.485,9241.61,92,41,61,92.70027778,45,-0.120589722,-0.045677051,0.922365051,-4.1656524,9.15528,-94.7113716,-6740.255706,-14442.31707,46801.25387
3028.65,30,28,65,30.48472222,9241.61,92,41,61,92.70027778,46,-0.359847534,0.063209668,0.992677551,2.4108904,-21.6369784,-72.5403352,-8235.617006,6791.813393,44558.21192
3028.65,30,28,65,30.48472222,9241.61,92,41,61,92.70027778,47,0.300796997,-0.007102832,1.020997864,-12.435922,-39.2303748,-77.1637516,8811.501814,20997.74574,40221.66415
3028.65,30,28,65,30.48472222,9241.61,92,41,61,92.70027778,48,0.023941528,-0.144798145,0.932618958,9.0637272,15.1367296,-24.7345148,20923.92834,25334.29351,35436.50799
3028.65,30,28,65,30.48472222,9241.62,92,41,62,92.70055556,49,-0.243148315,-0.211204395,0.954103333,11.6577232,27.5116164,-70.9991964,17185.52509,22642.64317,37679.54994
3028.65,30,28,65,30.48472222,9241.62,92,41,62,92.70055556,50,-0.028792847,0.04856123,1.028810364,-24.6582208,-35.0799812,120.468226,21522.07286,17707.95088,40520.73641
3028.65,30,28,65,30.48472222,9241.62,92,41,62,92.70055556,51,0.065445435,-0.114524707,0.978029114,12.6495452,28.3355916,11.9171228,5970.315344,14418.15602,43960.0674
3028.65,30,28,65,30.48472222,9241.62,92,41,62,92.70055556,52,-0.017562378,0.016822949,0.938966614,16.5863156,15.0146592,2.3803728,-7936.544746,7539.494043,44558.21192
3028.65,30,28,65,30.48472222,9241.62,92,41,62,92.70055556,53,-0.17869519,-0.060325488,1.045411926,-0.9307868,-10.1623608,71.029714,-11525.41187,9333.927603,42913.31449
